SERIALNUMBER	BOTTOM	COVERLAY	DIELECTRIC	INNER	ALL
20UPGPQ4610167	32.70	79.70	83.80	12.50	229.50	31.90
20UPGPQ4610168	34.20	79.70	83.30	11.00	231.00	32.40
20UPGPQ4610170	31.70	76.20	83.30	11.00	228.00	29.90
20UPGPQ4610171	32.20	76.70	82.80	11.00	225.50	31.90
20UPGPQ4610172	32.20	78.20	82.30	12.00	226.50	31.40
20UPGPQ4610173	34.20	77.20	83.30	11.00	231.00	34.90
20UPGPQ4610174	33.20	77.70	82.80	11.50	227.00	33.90
20UPGPQ4610175	32.70	78.70	82.80	12.00	228.00	32.40
20UPGPQ4610176	33.20	78.20	83.80	10.00	228.00	31.90
20UPGPQ4610177	34.20	77.20	82.80	11.50	233.00	34.40
20UPGPQ4610178	33.20	76.70	84.30	11.00	231.50	33.90
20UPGPQ4610181	35.70	78.70	82.80	11.00	232.00	34.40
20UPGPQ4610182	33.20	76.70	84.30	11.00	228.50	32.40
20UPGPQ4610183	34.20	77.70	83.80	10.00	227.50	32.40
20UPGPQ4610184	33.20	78.20	83.80	11.50	228.50	32.90
20UPGPQ4610186	31.70	77.20	84.30	11.00	226.00	31.40
20UPGPQ4610187	32.70	75.70	84.80	10.00	227.50	30.90
20UPGPQ4610188	33.20	77.70	84.80	11.00	227.50	31.40
20UPGPQ4610189	32.20	75.20	84.30	10.50	232.00	32.40
20UPGPQ4610190	31.20	77.70	84.80	10.00	227.50	28.40
20UPGPQ4610191	30.70	76.70	84.80	9.00	226.50	28.40
20UPGPQ4610192	31.20	77.70	84.80	9.00	225.00	27.90
20UPGPQ4610193	32.20	78.70	81.80	10.50	225.50	30.90
20UPGPQ4610194	30.70	78.20	84.30	10.50	226.00	29.40
20UPGPQ4610195	32.20	77.20	84.80	9.50	225.50	29.90
20UPGPQ4610196	31.20	77.70	83.80	11.50	228.50	31.40
20UPGPQ4610197	32.20	77.20	84.30	9.50	227.00	28.40
20UPGPQ4610198	29.70	77.70	83.30	11.00	224.00	28.40
20UPGPQ4610199	30.20	79.70	82.80	13.50	225.50	30.90
20UPGPQ4610200	31.20	79.20	83.30	12.50	227.50	30.40
20UPGPQ4610201	31.20	78.20	83.30	12.00	227.50	31.90
